1	napi.unofficial_napi_set_stack_limit
2	napi.unofficial_napi_set_near_heap_limit_callback
1	napi.unofficial_napi_remove_near_heap_limit_callback
0	napi.unofficial_napi_low_memory_notification
2	napi.napi_remove_wrap
4	napi.unofficial_napi_free_buffer
2	napi.unofficial_napi_start_cpu_profile
7	napi.unofficial_napi_stop_cpu_profile
1	napi.unofficial_napi_start_heap_profile
6	napi.unofficial_napi_stop_heap_profile
6	napi.unofficial_napi_take_heap_snapshot
37	napi.napi_adjust_external_memory
1	napi.unofficial_napi_set_prepare_stack_trace_callback
1	napi.unofficial_napi_preserve_error_source_message
10	napi.napi_create_external_arraybuffer
2	napi.napi_is_detached_arraybuffer
6	napi.napi_create_buffer
2	napi.unofficial_napi_get_call_sites
2	napi.napi_is_promise
6	napi.unofficial_napi_get_proxy_details
1	napi.unofficial_napi_get_caller_location
6	napi.unofficial_napi_preview_entries
2	napi.unofficial_napi_get_constructor_name
2	napi.unofficial_napi_arraybuffer_view_has_buffer
6	napi.node_api_create_sharedarraybuffer
2	napi.node_api_set_prototype
6	napi.unofficial_napi_create_private_symbol
2	napi.napi_is_date
2	napi.napi_is_error
2	napi.napi_coerce_to_bool
2	napi.node_api_is_sharedarraybuffer
2	napi.napi_add_env_cleanup_hook
2	napi.napi_remove_env_cleanup_hook
